Indicator,S.No.,Parameters,Type,SubDistrict - _Anugul - Total [(A+B) or (C+D)],SubDistrict - _Anugul - Public [A],SubDistrict - _Anugul - Private [B],SubDistrict - _Anugul - Urban [C],SubDistrict - _Anugul - Rural [D],SubDistrict - Angul - Total [(A+B) or (C+D)],SubDistrict - Angul - Public [A],SubDistrict - Angul - Private [B],SubDistrict - Angul - Urban [C],SubDistrict - Angul - Rural [D],SubDistrict - Athamallik - Total [(A+B) or (C+D)],SubDistrict - Athamallik - Public [A],SubDistrict - Athamallik - Private [B],SubDistrict - Athamallik - Urban [C],SubDistrict - Athamallik - Rural [D],SubDistrict - Banarapal - Total [(A+B) or (C+D)],SubDistrict - Banarapal - Public [A],SubDistrict - Banarapal - Private [B],SubDistrict - Banarapal - Urban [C],SubDistrict - Banarapal - Rural [D],SubDistrict - Chhendipada - Total [(A+B) or (C+D)],SubDistrict - Chhendipada - Public [A],SubDistrict - Chhendipada - Private [B],SubDistrict - Chhendipada - Urban [C],SubDistrict - Chhendipada - Rural [D],SubDistrict - Dist Level Facility - Total [(A+B) or (C+D)],SubDistrict - Dist Level Facility - Public [A],SubDistrict - Dist Level Facility - Private [B],SubDistrict - Dist Level Facility - Urban [C],SubDistrict - Dist Level Facility - Rural [D],SubDistrict - Kaniha - Total [(A+B) or (C+D)],SubDistrict - Kaniha - Public [A],SubDistrict - Kaniha - Private [B],SubDistrict - Kaniha - Urban [C],SubDistrict - Kaniha - Rural [D],SubDistrict - Pallahara - Total [(A+B) or (C+D)],SubDistrict - Pallahara - Public [A],SubDistrict - Pallahara - Private [B],SubDistrict - Pallahara - Urban [C],SubDistrict - Pallahara - Rural [D],SubDistrict - Rajkishore Nagar - Total [(A+B) or (C+D)],SubDistrict - Rajkishore Nagar - Public [A],SubDistrict - Rajkishore Nagar - Private [B],SubDistrict - Rajkishore Nagar - Urban [C],SubDistrict - Rajkishore Nagar - Rural [D],SubDistrict - Talcher - Total [(A+B) or (C+D)],SubDistrict - Talcher - Public [A],SubDistrict - Talcher - Private [B],SubDistrict - Talcher - Urban [C],SubDistrict - Talcher - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,10570,10570,NA,NA,10570,1554,1554,NA,NA,1554,1091,1091,NA,NA,1091,1553,1553,NA,NA,1553,1317,1317,NA,NA,1317,798,798,NA,NA,798,1146,1146,NA,NA,1146,1173,1173,NA,NA,1173,929,929,NA,NA,929,1009,1009,NA,NA,1009
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,8780,8780,NA,NA,8780,1373,1373,NA,NA,1373,967,967,NA,NA,967,1438,1438,NA,NA,1438,1168,1168,NA,NA,1168,226,226,NA,NA,226,1005,1005,NA,NA,1005,987,987,NA,NA,987,772,772,NA,NA,772,844,844,NA,NA,844
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,9822,9822,NA,NA,9822,1417,1417,NA,NA,1417,962,962,NA,NA,962,1545,1545,NA,NA,1545,1239,1239,NA,NA,1239,734,734,NA,NA,734,1109,1109,NA,NA,1109,1039,1039,NA,NA,1039,797,797,NA,NA,797,980,980,NA,NA,980
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,9559,9559,NA,NA,9559,1337,1337,NA,NA,1337,899,899,NA,NA,899,1555,1555,NA,NA,1555,1154,1154,NA,NA,1154,827,827,NA,NA,827,1103,1103,NA,NA,1103,968,968,NA,NA,968,742,742,NA,NA,742,974,974,NA,NA,974
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,595,595,NA,NA,595,132,132,NA,NA,132,101,101,NA,NA,101,3,3,NA,NA,3,51,51,NA,NA,51,47,47,NA,NA,47,36,36,NA,NA,36,106,106,NA,NA,106,106,106,NA,NA,106,13,13,NA,NA,13
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,7841,7841,NA,NA,7841,1175,1175,NA,NA,1175,775,775,NA,NA,775,1021,1021,NA,NA,1021,1023,1023,NA,NA,1023,559,559,NA,NA,559,939,939,NA,NA,939,888,888,NA,NA,888,566,566,NA,NA,566,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3396,3396,NA,NA,3396,738,738,NA,NA,738,216,216,NA,NA,216,291,291,NA,NA,291,NA,NA,NA,NA,NA,407,407,NA,NA,407,234,234,NA,NA,234,595,595,NA,NA,595,447,447,NA,NA,447,468,468,NA,NA,468
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,6739,6739,NA,NA,6739,1123,1123,NA,NA,1123,972,972,NA,NA,972,1148,1148,NA,NA,1148,186,186,NA,NA,186,216,216,NA,NA,216,694,694,NA,NA,694,779,779,NA,NA,779,731,731,NA,NA,731,890,890,NA,NA,890
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,7926,7926,NA,NA,7926,1144,1144,NA,NA,1144,790,790,NA,NA,790,1202,1202,NA,NA,1202,1071,1071,NA,NA,1071,535,535,NA,NA,535,928,928,NA,NA,928,892,892,NA,NA,892,469,469,NA,NA,469,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,5,5,NA,NA,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,5,5,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,94,94,NA,NA,94,13,13,NA,NA,13,5,5,NA,NA,5,26,26,NA,NA,26,NA,NA,NA,NA,NA,32,32,NA,NA,32,0,0,NA,NA,0,1,1,NA,NA,1,14,14,NA,NA,14,3,3,NA,NA,3
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,66,66,NA,NA,66,1,1,NA,NA,1,1,1,NA,NA,1,21,21,NA,NA,21,NA,NA,NA,NA,NA,32,32,NA,NA,32,0,0,NA,NA,0,1,1,NA,NA,1,8,8,NA,NA,8,2,2,NA,NA,2
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,12,12,NA,NA,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,7709,7709,NA,NA,7709,1085,1085,NA,NA,1085,777,777,NA,NA,777,1189,1189,NA,NA,1189,1056,1056,NA,NA,1056,475,475,NA,NA,475,878,878,NA,NA,878,890,890,NA,NA,890,464,464,NA,NA,464,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,4692,4692,NA,NA,4692,476,476,NA,NA,476,699,699,NA,NA,699,644,644,NA,NA,644,412,412,NA,NA,412,534,534,NA,NA,534,268,268,NA,NA,268,820,820,NA,NA,820,376,376,NA,NA,376,463,463,NA,NA,463
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,18,18,NA,NA,18,0,0,NA,NA,0,8,8,NA,NA,8,3,3,NA,NA,3,1,1,NA,NA,1,3,3,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,3,3,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,430,430,NA,NA,430,0,0,NA,NA,0,4,4,NA,NA,4,NA,NA,NA,NA,NA,62,62,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,364,NA,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
